 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 1 5| |      6|      7| 0.1245| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 6| |     60|     76| 0.1132| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 7| |      3|      2| 0.1229| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 8| |     15|      7| 0.1137| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 1 9| |      0|      1| 0.1224| 0.0158| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0121
 0 2 0| |    105|     93| 0.0105| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 1| |     16|      0| 0.0143| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 2| |      1|      0| 0.0144| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 3| |     88|     81| 0.0104| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 4| |     30|     20| 0.0138| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 5| |      1|      0| 0.0144| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 6| |      3|      3| 0.0114| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 7| |      0|      0| 0.0140| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 8| |      2|      2| 0.0115| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 0 2 9| |      0|      0| 0.0139| 0.0477| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0207
 1 0 0| |   1606|   1244| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    451|    345| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |     33|     25| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |   1377|   1159| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
